Aggregation_Scale,Temporal_Fold,Timestamp_Start,Timestamp_End,Total_Rows,Unique_Timestamp_Count,Training_Timestamp_Count,Validation_Timestamp_Count,Buffer_Timestamp_Count,Gap_Hours_From_Role_Table,Buffer_Length_From_Rule_Table,Buffer_Length_Unit,Split_Source_File,Buffer_Rule_File,Notes
1 h,1,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8178,2046,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,2,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8178,2046,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,3,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8178,2046,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,4,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8181,2043,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,5,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8181,2043,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,1,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8040,2046,138,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,2,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8013,2046,165,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,3,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,7971,2046,207,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,4,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,7951,2043,230,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,5,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8020,2043,161,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
