Station_Name_Public,Final_Cluster,Raw_Cluster,Final_Cluster_Label,Used_In_Final_Clustering,Cluster_Method,N_Clusters,Outlier_Exclusion_Applied,Source_Script,Diagnostic_Previous_Script,Notes
嘉定方泰,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
宝山庙行,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
宝山杨行,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
徐汇上师大,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
徐汇华泾,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
普陀桃浦,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
普陀监测站,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
杨浦四漂,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
杨浦新江湾城,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
杨浦监测站,1,3,Cluster 1,True,KMeans on station-level Delta R2 response profiles,5,True,data_R方_58站点_地图聚类_13_剔除_全.py,data_R方_58站点_地图聚类_02_改5.py,"Final station labels reproduced from the final clustering logic: exclude anomalous stations, compute Delta R2 profiles under Spatial_CV, run KMeans with n_clusters=5 and random_state=42, then reorder cluster IDs by descending cluster size."
